Day,Date,Year,Title,Genre,Device,Time,Duration
Monday, August 28, 2016,Psych:Season 2:Gus' Dad May Have Killed an Old Guy,TV Series,Android,10:08:59,43
Saturday, August 27, 2016,Psych: Season 2:Bounty Hunters!,TV Series,Android,14:59:17,43
Sunday, August 21, 2016,Psych: Season 2:Meat Is Murder But Murder Is Also Murder,TV Series,Android,6:49:14,43
Saturday, August 20, 2016,Psych: Season 2:And Down to the Stretch Comes Murder,TV Series,Android,8:15:29,42
Saturday, August 20, 2016,Psych: Season 2:Zero to Murder in 60 Seconds,TV Series,Android,7:49:08,43
Saturday, August 20, 2016,Psych: Season 2:Psy vs. Psy,TV Series,Android,8:25:38,43
Wednesday, August 17, 2016,Psych: Season 1:Scary Sherry Bianca's Toast,TV Series,Android,22:41:35,43
Wednesday, August 17, 2016,What Women Want,Movie,Android,20:01:24,126
Wednesday, August 17, 2016,Eternal Sunshine of the Spotless Mind,Movie,Android,9:08:19,107
Tuesday, August 16, 2016,Psych: Season 1:Game Set...Muuurder?,TV Series,Android,10:34:15,43
Thursday, August 11, 2016,Amu,Movie,Android,18:10:30,102
Wednesday, August 10, 2016,Psych: Season 1:Forget Me Not,TV Series,Android,8:20:24,42
Wednesday, August 10, 2016,Psych: Season 1:Shawn Vs. the Red Phantom,TV Series,Android,6:37:01,43
Tuesday, August 9, 2016,The Little Prince,Movie,Android,19:16:35,106
Sunday, August 7, 2016,Agatha Christie's Poirot:Series 1:The Adventure of Johnnie Waverly,TV Series,Android,8:43:52,52
Tuesday, August 2, 2016,Grey's Anatomy:Season 12:I Wear the Face,TV Series,Android,18:25:25,42
Tuesday, August 2, 2016,Grey's Anatomy:Season 12:Unbreak My Heart,TV Series,Android,13:50:33,43
Sunday, July 31, 2016,Grey's Anatomy:Season 12:Sledgehammer,TV Series,Android,19:50:15,43
Saturday, June 11, 2016,Psych: Season 1:Weekend Warriors,TV Series,Android,13:58:29,43
Friday, June 10, 2016,Psych: Season 1:Woman Seeking Dead Husband Smokers Okay No Pets,TV Series,Android,6:39:08,42
Wednesday, June 8, 2016,Psych: Season 1:Speak Now or Forever Hold Your Piece,TV Series,Android,19:50:33,42
Thursday, June 2, 2016,Psych: Season 1:Pilot,TV Series,Android,7:49:46,78,78
Tuesday, May 31, 2016,The Office (U.S.): Season 1:Diversity Day,TV Series,Android,20:25:25,21
Tuesday, May 31, 2016,The Office (U.S.): Season 1:Pilot,TV Series,Android,13:20:56,23
Saturday, May 28, 2016,Scrubs: Season 9: Our Thanks,TV Series,Android,8:50:08,21
Thursday, May 26, 2016,Scrubs: Season 9: Our Driving Issues,TV Series,Android,10:50:15,21
Thursday, May 26, 2016,Scrubs: Season 9: Our Dear Leaders,TV Series,Android,23:00:29,21
Wednesday, May 25, 2016,Scrubs: Season 9: Our True Lies,TV Series,Android,8:49:46,21
Monday, May 23, 2016,Scrubs: Season 9: Our Couples,TV Series,Android,16:20:33,21
Sunday, May 22, 2016,Scrubs: Season 9: Our White Coats,TV Series,Android,8:25:25,21
Sunday, May 22, 2016,Scrubs: Season 9: Our New Girl-Bro,TV Series,Android,8:33:56,21
Friday, May 20, 2016,Scrubs: Season 9: Our Mysteries,TV Series,Android,11:50:15,21
Friday, May 20, 2016,Scrubs: Season 9: Our Histories,TV Series,Android,22:58:29,21
